BDL-schoolID;School;Adres;Plaats;Postcode;Brin
0362D761-6887-49A3-9821-8FAE6B611A44;ROC West-Brabant Radius;Terheijdenseweg 350;BREDA;4826 AA;25LX
78B0BE1C-2A0D-46CF-8509-62B0D3745849;ROC West-Brabant Vitalis;Terheijdenseweg 414;BREDA;4826 AB;25LX
B6EFD235-1B35-4CCD-A704-181342C3B570;ROC West-Brabant Markiezaat;Nobellaan 50;BERGEN OP ZOOM;4622 AJ;25LX
B4E9E3C8-18B6-4F77-B40F-CC68404B72A1;ROC West-Brabant Cingel;Markendaalseweg 35;BREDA;4811 KA;25LX
489E2E45-B653-41D3-B61A-76069CD124B9;ROC West-Brabant Zoomvliet;Knipplein  11;ROOSENDAAL;4702 GN;25LX
E6C4F294-37B6-4441-B433-264D04232FB6;ROC West-Brabant Prinsentuin;Frankenthalerstraat 15;BREDA;4816 KA;25LX
B7BEA425-60C9-45AB-BBF7-E63458487CC7;Roc West Brabant | Sector Entree;Trivium 76;ROOSENDAAL;4873 LP;25LX
68D52696-D8BA-4687-956A-BA21EF74F475;ROC West-Brabant Florijn;Wilhelminasingel 33;BREDA;4817 JX;25LX
ED1FB495-3CF4-46A0-BF10-2A8D501E2E8C;Effent;Kruidenlaan 19;OOSTERHOUT;4907 AA;25LX
61103E71-68AC-457C-8822-FAB5CF7940FE;Kellebeek College VAVO Roosendaal;Hoogstraat 126;ROOSENDAAL;4702 ZW;25LX
03B6121A-3E9E-4BD3-8AC3-57C8C3C073BB;Curio | ISK Breda;Verviersstraat 8;BREDA;4826 HT;25LX
6BC5591A-B2EA-43BF-B4FE-364749C4C790;Kellebeek College VAVO Breda;GANZERIK 76;BREDA;4822 RK;25LX
4B9E113E-7456-4B7E-B696-EEF4118DF7CB;Scala;Meulenspie 2;TETERINGEN;4847 TK;25LX
A03A9635-89CE-498F-AAA2-BD1D69B369D7;Kellebeek College Verpl./Verz.;Kadeplein 2;ROOSENDAAL;4703 GB;25LX
10026679-F9A8-45BE-A0EE-988B7971A7B1;Career Base;Willem Brocadesdreef 170;HOOFDDORP;       ;25LX
356E12E6-5C18-40AE-A4AB-83FAB192B880;Zoomvliet Hotelschool;Meeussenstraat 13;BERGEN OP ZOOM;4611 BP;25LX
E45B56EC-8794-4BE9-A26A-6BC6E1CEE829;Kellebeek College MBO-AG;Oostelijke Havendijk 1;ROOSENDAAL;4704 AD;25LX
1DA000C2-5F64-495B-9551-B016C8F25D49;Kellebeek College NOVA;Rooseveltlaan 225;BERGEN OP ZOOM;4624 DN;25LX
6E190A70-460E-4AC9-9F25-7ED435A4EA33;Florijn Coll. (MBO-Oosterhout);Mathildastraat 50;OOSTERHOUT;4901 HC;25LX
B54DF09F-A672-4B66-BB11-8D1BF5F4C1EB;Kellebeek College NOVA-Breda;Beemd 10;BREDA;4816 HB;25LX
2AEC089F-DF53-4AAA-B81F-44397F2D631A;G2 Guide & Guard Safety Securi;Hammerweg 40016;OMMEN;       ;25LX
